;Nobelprijs;Achternaam;Voornamen;Roepnaam;Geslacht;Titulatuur 1;Geboortedatum;Geboorteplaats;Geboorteland;Sterfdatum;Sterfplaats;Land van overlijden;Examentype;Instelling;Datum;Proefschrift;Aanstelling I;Vakgebied I;Datum aanstelling I;Ambtsaanvaarding I;Leeropdracht I;Datum oratie I;Oratie/openbare les;Faculteit I;Einde dienstverband I;Reden I;Bijzonderheden I;Aanstelling II;Vakgebied II;Datum aanstelling II;Ambtsaanvaarding II;Leeropdracht II (Onderwijs of Vakgebied);Datum oratie II;Oratie/Openbare les II;Faculteit II;Einde dienstverband II;Reden II;Bijzonderheden II;Aanstelling III;Vakgebied III;Datum aanstelling III;Ambtsaanvaarding III;Leeropdracht III (Onderwijs of Vakgebied);Datum oratie III;Oratie/openbare les III;Faculteit III;Einde dienstverband III;Reden III;Bijzonderheden III;Aanstelling IV;Vakgebied IV;Datum aanstelling IV;Ambtsaanvaarding IV;Leeropdracht IV (Onderwijs of Vakgebied);Datum oratie IV;Oratie/openbare les IV;Faculteit IV;Einde dienstverband IV;Reden IV;Bijzonderheden IV;CV 1;CV 2;VIAF;Handle;NTA / PPN
1889;;Oven;Julius Christiaan van;;Man;;17-11-1881;Dordrecht;Nederland;15-3-1963;Leiden;Nederland;Promotie;Amsterdam;1905;De bezitsbescherming en hare functies;Gewoon Hoogleraar;Romeins Recht;29-11-1924;;Het Romeinsch Recht en zijn Geschiedenis;11-3-1925;Over de beteekenis der historische beoefening van het Romeinsche recht voor de studie van het hedendaagsche privaatrecht;Rechtsgeleerdheid;15-9-1952;Ontslag wegens emeritaat;1942-03-11 Eervol ontslag op eigen verzoek.Herbenoemd 1945-05-05. 1947-1948 Rectoraat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"zie: JB der R.U. te Leiden 1925 blz. 116 en In Mem. 1963 blz. 194 en In Mem. JB
            Mij. der Ned. Letterk. 1964/65 blz. 107.";43149679;1659534;68293100
1890;;Oven;Adolf van;;Man;;18-2-1911;Amsterdam;Nederland;21-3-1983;'s-Hertogenbosch;Nederland;Promotie;Leiden;1938;De uniformeerende werking van het Brusselsche Aanvaringstractaat;Gewoon Hoogleraar;Burgerlijk Recht;11-12-1954;1-11-1955;Burgerlijk recht en privaatrecht. 1955-11-03 Vakgebied gewijzigd in: Het burgerlijk recht. 1958-09-02 Onderwijsopdracht gewijzigd in: Het handelsrecht en sociaal-economisch privaatrecht;20-1-1956;Aere Perennius. Over de onvergankelijkheid van het privaatrecht;Rechtsgeleerdheid;1-9-1981;Eervol ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1956 blz. 116.;278907434;1660129;68349335
1892;;Pabbruwe;Herman Johan;;Man;;15-3-1921;Druten;Nederland;11-10-2000;;;Promotie;Groningen;1961;Gebruik en gebruikelijk beding;Bijzonder Hoogleraar;Bankrecht;18-8-1983;1-9-1983;Bankrecht;28-10-1983;De betekenis van de onafhankelijke bankgarantie;Rechtsgeleerdheid;31-3-1986;Ontslag;"1986-10-28 Afscheidscollege: ""Het belang van het bankrecht"". Bijzonder Hoogleraar Rechtsgeleerdheid vanwege het Leids Universiteits Fonds";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;113916729;1664913;68324316
1893;;Pauw;Petrus;;Man;;2-8-1564;Amsterdam;Nederland;1-8-1617;Leiden;Nederland;;;;;Buitengewoon Hoogleraar;Biologie (Medische);9-2-1589;;Geneeskunde;;;Geneeskunde;;;"Op proef benoemd als Buitengewoon Hoogleraar Geneeskunde. 1589-06 Benoeming voor één jaar verlengd. Rector Magnificus 1601-1602; 1606-1607; 1614-1615";Gewoon Hoogleraar;Biologie (Medische);8-2-1592;;Anatomie. 1594-01-07 Kreeg opdracht onderwijs te geven in Kruidkunde;;;Geneeskunde;1-8-1617;Overleden;1592-05-12 Kreeg opdracht den AcademischenKruidhof in te richten. 1598 Kreeg opdracht toezicht te houden op den Kruidhof.;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE, KRUIDKUNDE) 1589-1617. Hoogleeraar.;"zie: Molhuysen „Bronnen"" I en II; - Nieuw Nederl. Biogr. Woordenboek IV K. 1051; -
H. Veendorp en L. G. M. Baas Becking in Hortus Academicus Lugduno-Batavus 1587-1937
blz. 25.";46989335;"1620300; 1620472; 1625831; 1623889";69950253
1894;;Palm;Johan Hendrik van der;;Man;;17-7-1763;Rotterdam;Nederland;8-9-1840;Leiden;Nederland;Promotie;Leiden;1784;Ecclesiastes philologice et critice illustratus;Gewoon Hoogleraar;"Archeologie;Oosterse Talen";1-12-1795;;Oostersche Talen en Hebreeuwsche Oudheden;11-6-1796;;Letteren;13-4-1799;"Nam ontslag en trad op als ""Agent van Nationale Opvoeding"" tevens lid van den Raad van Binnenlandsche Zaken.";"Rector Magnificus 1798-1799; 1818-1819";Gewoon Hoogleraar;"Dichtkunde;Retorica";1-2-1806;;;20-9-1806;;"Letteren; Godgeleerdheid";;;;Gewoon Hoogleraar;"Dichtkunde;Oosterse Talen;Retorica";16-3-1808;16  Bevestigd-10-1815;;;;Letteren;1833;Emeritus, doch gaf nog colleges in 1838.;;;;;;;;;;;;;"(BESPIEGELENDE WIJSBEGEERTE EN LETTEREN) 1795-1799 en 1806-1833.
Hoogleeraar.";"zie: Molhuysen „Bronnen"" VII; •- Nieuw Nederl. Biogr. Woordenboek V K. 430.";12653583;"1581855; 1625311; 1622983; 1622272; 1621288; 1620789; 1621831; 1625251; 1620176; 1620886";69877394
1896;;Panhuys;Haro Frederik van;;Man;Jhr.;22-7-1916;Wassenaar;Nederland;1976;;;Promotie;Leiden;1959;The role of nationality in international law : an outline;Gewoon Hoogleraar;Internationaal Recht;2-9-1959;1-10-1959;Volkenrecht;8-4-1960;Regionaal of algemeen Volkenrecht? Een te simpele vraagstelling;Rechtsgeleerdheid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1960 blz. 154, JB;32081829;1661266;68263910
1899;;Pannekoek;Antonie Johannes;;Man;;30-11-1905;Leiden;Nederland;2000;;;Promotie;Utrecht;1935;Évolution du bassin de la Tet dans les Pyrénées orientales pendant la néogène : étude de morphotectonique;Gewoon Hoogleraar;Geologie;23-8-1955;;Algemene Geologie;3-2-1956;Geologie als wetenschap en kunst;Wiskunde en Natuurwetenschappen;1-9-1972;Ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1956 blz. 118.;71123849;;68710046
1901;;Paradijs;Nicolaas;;Man;;11-11-1740;Amsterdam;Nederland;7-9-1812;Leiden;Nederland;Promotie;Leiden;1763;Specimen pathologicum, quo inquiritur in naturam inflammationis;Gewoon Hoogleraar;;26-4-1784;;Practische Geneeskunde;2-10-1784;;Geneeskunde;;;Rector Magnificus 1793-1794;Gewoon Hoogleraar;Geschiedenis van de Geneeskunde;8-3-1787;;Geschiedenis der Geneeskunde;27-9-1800;;;7-9-1812;Overleden;Professor Medico-practicii aan het Collegium med. Pract.;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE) 1784-1812. Hoogleeraar.;"zie: Molhuysen „Bronnen"" VI en VII; - Nieuw Nederl. Biogr. Woordenboek III K. 951.";17629893;"1623257; 1581958";68159587
1905;;Patijn;Schelto;;Man;;13-8-1936;Den Haag;Nederland;15-7-2007;;;Promotie;Utrecht;1973;De uitbreiding van de bevoegdheden van het Europees Parlement;Gewoon Lector;Internationaal Recht;1-9-1972;;Het recht der internationale organisaties;;;Rechtsgeleerdheid;1-12-1975;Lectoraat op 1975-12-01 van rechtswege beëindigd, datum waarop prof. mr. H. H. Maas zijn functie als lid van het College van Bestuur heeft neergelegd.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19244817;;68974108
1911;;Perizonius;Jacobus;;Man;;26-10-1651;Appingedam;Nederland;6-4-1715;Leiden;Nederland;;;;;Gewoon Hoogleraar;"Geschiedenis;Klassieke Talen;Retorica";27-4-1693;;;7-7-1693;;Letteren;;;Rector Magnificus 1707-1708;Gewoon Hoogleraar;Geschiedenis;;;Historiae Foederati Belgii;6-2-1702;;Letteren;6-4-1715;Overleden;;;;;;;;;;;;;;;;;;;;;;;;(HISTORIE, GRIEKSCHE TAAL, WELSPREKENDHEID) 1693-1715. Hoogleeraar.;"zie: Molhuysen „Bronnen"" IV; - Nieuw Nederl. Biogr. Woordenboek V K. 467.";57415655;"1582002; 1623639; 1620544; 1582116";68192983
1912;;Pestel;Frederik Willem;;Man;;7-1-1724;Rinteln;Duitsland;16-10-1805;Leiden;Nederland;;;;;Gewoon Hoogleraar;Staatsrecht;-1765;;Natuur- en Staatsrecht en Kanoniek Recht;1-5-1763;;Rechtsgeleerdheid;16-10-1805;Overleden;"1795-08-08 Op politieke gronden uit ambt ontzet, met behoud van pensioen. Vertrok naar Duitsland. 1802-02-06 In ambt hersteld en kwam terug in 1803. Rector Magnificus 1765-1766; 1777-1778; 1788-1789";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1763-1795 en 1802-1805. Hoogleeraar.;"zie: Molhuysen „Bronnen"" VI en VII; - Nieuw Nederl. Biogr. Woordenboek III K. 968.
118 PHILIPSE - POELS";41977891;"1624107; 1582061; 1622391; 1625255; 1625257; 1621590; 1621912; 1624373; 1624252; 1623479; 1625719";69313180
1914;;Pestman;Pieter Willem;;Man;;28-4-1933;Amsterdam;Nederland;14-5-2010;;;Promotie;Leiden;1961;Marriage and matrimonial property in ancient Egypt : a contribution to establishing the legal position of the woman;Gewoon Hoogleraar;"Egyptologie;Geschiedenis van het Recht";2-12-1968;1-1-1969;Rechtsgeschiedenis van het oude Egypte en van het oude Griekenland alsmede de juridische papyrologie;24-10-1969;Over Vrouwen en Voogden in het Oude Egypte;Rechtsgeleerdheid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB LUF 1970 blz. 61.;109148665;;67717586
1917;;Peursen;Cornelis Anthonie van;;Man;;8-7-1920;Rotterdam;Nederland;10-10-1996;;;Promotie;Leiden;1948;Riskante philosofie : een karakteristiek van het hedendaagse existentie??le denken;Gewoon Hoogleraar;;12-7-1960;16-10-1960;Wijsbegeerte;21-10-1960;De werkelijkheidszin der wijsbegeerte. De betekenis van beweging, tijd en geschiedenis voor een deiktische ontologie;Wijsbegeerte;1-9-1982;Eervol ontslag op eigen verzoek;"1968-04-26  Gerekend van 1963-09-01 in de faculteit der Letteren en de Centrale Interfaculteit. 1982-09-24 Afscheidscollege: ""Wetenschappelijke openheid en metafysische kwetsbaarheid""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1961 blz. 180.;42344404;;68218494
1925;;Pijnacker (Pynakerus);Cornelius (van);;Man;;6-7-1570;Pijnacker;Nederland;12-1-1645;Franeker;Nederland;;;;;Buitengewoon Hoogleraar;Romeins Recht;9-11-1579;;Instituten;;;Rechtsgeleerdheid;;;;Gewoon Hoogleraar;;08  12-2-1611;;Rechten;;;Rechtsgeleerdheid;11-8-1614;Ontslagen wegens het voeren van onderhandelingen over een professoraat in Groningen. 1615 Vertrok naar Groningen.;;;;;;;;;;;;;;;;;;;;;;;;(RECHTSGELEERDHEID) 1597-1614. Hoogleeraar.;"zie: Molhuysen „Bronnen"" I en II; - Nieuw Nederl. Biogr. Woordenboek II K. 1140.";71697717;"1619845; 1620817; 1621308; 1619484";68185685
1926;;Pijnappel;Jan;;Man;;17-11-1822;Amsterdam;Nederland;14-9-1901;Nijmegen;Nederland;Promotie;Leiden;1845;Specimen literarium inaugurale continens vitas ex lexico biographico ?Ibn- ?allic?nis;Gewoon Hoogleraar;Aziatische Talen en Culturen;11-9-1877;;Maleis;17-10-1877;;Letteren;17-9-1889;1889-08-04  Ontslag op eigen verzoek, ingaand 1889-09-17.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(LETTEREN EN WIJSBEGEERTE) 1877-1889. Hoogleeraar.;"zie: A. C. Vreede in „Bijdragen tot de Taal- en Volkenkunde van Nederlandsch-Indië"", 6 no. X;
- Nieuw Nederl. Biogr. Woordenboek II K. 1142.";41706080;;72594365
1927;;Pijper;Fredrik;;Man;;9-1-1859;Hoogwoud;Nederland;26-2-1926;Rotterdam;Nederland;Promotie;Leiden;1883;Jan Utenhove : zijn leven en zijne werken;Gewoon Hoogleraar;Geschiedenis van de Godsdienst;20-2-1897;;De Geschiedenis van het Christendom en de Geschiedenis van de Leerstellingen van den Christelijken Godsdienst;5-5-1897;;Godgeleerdheid;15-9-1924;1924-07-08  Ontslag op eigen verzoek, ingaand 1924-09-15;Rector Magnificus 1911-1912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1897-1924. Hoogleeraar.;"zie: A. Eekhof in Levensberichten van de Mij. der Nederl. Letterkunde te Leiden 1925-1926; -
Jaarboek der R.U. te Leiden 1926 blz. 124.";49006539;1581960;70061513
1930;;Pitcairn;Archibaldus;;Man;;25-12-1652;Edinburgh;Verenigd Koninkrijk, Schotland;17-10-1713;Edinburgh;Verenigd Koninkrijk, Schotland;Promotie;Leiden;1693;Dissertatio de motu quo cibi in ventriculo redigunter ad formam sanguini reficiendo idoneam;Gewoon Hoogleraar;;28-11-1691;;Practische Geneeskunde;26-4-1692;;Geneeskunde;8-2-1694;"Siegenbeek vermeldt zijn benoeming aan het Coll. Medico Pract. In 1693, doch in 1693 vertrok Pitcairn zonder verlof naar Schotland en werd daarom in 1694-02-08 ""oneervol ontslagen"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE) 1691-1694. Hoogleeraar.;"zie: Molhuysen „Bronnen"" IV; - van der Aa 9; - Siegenbeek II T. en B., H. 160; - G. C.
B. Suringar in „Bijdragen tot de Geschiedenis van het geneeskundig Onderwijs aan de Leidsche
Hoogeschool, in Ned. Tijdschrift voor Geneeskunde 1864.";3254905;;06898992X
1931;;Pithopoeus;Basilius;;Man;;;;;30-3-1576;Leiden;Nederland;;;;;Gewoon Hoogleraar;Klassieke Talen;1575;;Latijn;;;Letteren;2-6-1575;"""Eerste Hoogleraar Latijn"", echter op 1575 Juni 2 genoemd als ""assessor"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(LATIJN) 1575-1576. Hoogleeraar.;"zie: Molhuysen „Bronnen"" I; - Nieuw Nederl. Biogr. Woordenboek IV K. 1073, ook K. 1075
bij Ludolfus Pithopoeus.";;;
1939;;Pluygers;Willem George;;Man;;18-2-1812;Zwolle;Nederland;30-4-1880;Leiden;Nederland;Promotie;Leiden;1836;Specimen academicum litterarium, continens diatriben de Demade;Gewoon Hoogleraar;Klassieke Archeologie;13-7-1862;;Latijn en Grieksche Oudheden;19-9-1862;;Archeologie;1-9-1879;1879-06-08  Ontslag op eigen verzoek als Hoogleraar en Bibliothecaris, ingaand 1879-09-01.;1858 Bibliothecaris.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(BESPIEGELENDE WIJSBEGEERTE EN LETTEREN EN BIBLIOTHECARIS) 1858-;;49971887;1625412;06988840X
1940;;Poels;Jan;;Man;;21-3-1851;Venray;Nederland;4-3-1927;Utrecht;Nederland;Erepromotie;Leiden;1895;;Buitengewoon Hoogleraar;;18-5-1911;;Toegepaste Bacteriologie;11-10-1911;;Geneeskunde;17-9-1923;1923-07-10  Ontslag wegens Emeritaat, ingaand 1923-09-17.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE) 1911-1923. Hoogleeraar.;"zie: Klinkert Sr. in Nederlandsen Tijdschrift voor Geneeskunde 71, I A 1927; - R. P. van Calcar
in Almanak van het Leidsch Studenten Corps 1928; - Jaarboek der R.U. te Leiden 1927 blz.
124; - „Huldiging Prof. Poels"" in Nederlandsen Tijdschrift voor Genees";287198712;;74060821
1944;;Polak;Leonard;Leo;Man;;6-1-1880;Steenwijk;Nederland;9-12-1941;Sachsenhausen-Oraniënburg;;Promotie;Amsterdam;1921;De zin der vergelding : een strafrechts-filosofies onderzoek;Bijzonder Hoogleraar;Geschiedenis van het Recht;23-3-1925;;De Wijsbegeerte van het recht;30-9-1925;Hegel's leer der staat;Rechtsgeleerdheid;8-2-1928 / 1929;Tot 1928 wegens aanvaarding van professoraat te Groningen. / 1929-02-08 Ontslag op verzoek.;Bijzonder Hoogleraar Rechtsgeleerdheid vanwege het Leids Universiteits Fonds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1926 blz. 120.;10592847;1887182;68433301
1945;;Polak;Carel Hendrik Frederik;;Man;;2-9-1909;Rotterdam;Nederland;28-2-1981;Oegstgeest;Nederland;Doctoraal;Leiden;1931;;Gewoon Hoogleraar;;29-12-1950;;Administratief en agrarisch recht;12-10-1951;Ordening en rechtsstaat;Rechtsgeleerdheid;11-5-1967;Ontslag op verzoek.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1952 blz. 98.;83866699;1662799;67560121
1949;;Polano;Machiel;;Man;;1-5-1813;Leiden;Nederland;27-9-1878;Leiden;Nederland;;;;;Gewoon Hoogleraar;Heelkunde;3-7-1869;;Heelkunde, Gerechtelijke Geneeskunde en Geneeskundige Politie;8-10-1869;Over het karakter der moderne chirurgie;Geneeskunde;27-9-1878;Overleden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE) 1869-1878. Hoogleeraar.;zie: Nieuw Nederl. Biogr. Woordenboek IV K. 1089.;;1581779;72779500
1951;;Polderman;Jacobus;;Man;;29-8-1914;Den Haag;Nederland;23-5-2007;Leiden;Nederland;;;;;Buitengewoon Hoogleraar;Farmacie;10-8-1962;;Farmaceutische technologie;11-12-1962;Farmaceutische technologie;Wiskunde en Natuurwetenschappen;;;;Buitengewoon Hoogleraar;Farmacie;27-1-1964;;Farmaceutische technologie. 1970-10-07  Vakgebied gewijzigd in: Farmaceutische technologie en artenijbereidkunde;26-6-1964;Industriële farmacie en de wet op de geneesmiddelenvoorziening;;1-2-1980;Eervol ontslag wegens emeritaat;"1980-01-18 Afscheidscollege: ""Veertig jaar artsenijbereidkunde""";;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1964/65 blz. 213.;43086325;;67798632
1954;;Poll;Reinhart Adelbert van de;;Man;;7-5-1907;Apeldoorn;Nederland;11-11-1978;Apeldoorn;Nederland;;;;;Buitengewoon Lector;Notarieel Recht;19-12-1972;19-12-1972;Notarieel recht;;;Rechtsgeleerdheid;1-9-1977;Eervol ontslag wegens emeritaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1975-1980 In Mem. blz. 131.;287620638;;68038585
1955;;Polyander à Kerkhoven;Johannes;;Man;;26 of 28-3-1568;Metz;Frankrijk;4-2-1646;Leiden;Nederland;;;;;Gewoon Hoogleraar;;-1621;;;;;Godgeleerdheid;4-2-1646;Overleden;"Rector Magnificus 1613-1614; 1617-1619; 1627-1629; 1635-1636; 1640-1641; 1645-1646";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1611-1646. Hoogleeraar.;"zie: Molhuysen „Bronnen"" II; - Nieuw Nederl. Biogr. Woordenboek IX K. 815; - Gustave
Cohen „Ecrivains francais en Hollande dans la première moitié du XVIIme Siècle"".";42184299;"1581814; 1581890; 1619892; 1625862; 1624116; 1620050; 1621606; 1625843; 1621422; 1624115; 1624104; 1620195; 1623370; 1623542; 1622357; 1620947; 1624429";68947232
1960;;Poortman;Johannes Jacobus;;Man;;26-4-1896;Den Haag;Nederland;21-12-1970;;;Promotie;Amsterdam;1954;Ochêma : geschiedenis en zin van het hylisch pluralisme (het z.g. dualistisch materialisme);Bijzonder Hoogleraar;;16-6-1958;;Metafysica in de geest van de theorie;31-10-1958;De wijsgerige projectie;Wijsbegeerte;21-6-1966;Ontslag wegens emeritaat;Bijzonder Hoogleraar Letteren en Wijsbegeerte vanwege Stichting Proklos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JBder R.U. te Leiden 1959 blz. 140 en In Mem. JB LUF 1971 blz. 68.;4086217;;69584427
1962;;Popescu;Dragu Teodor;;Man;;22-5-1928;Boedapest;Hongarije;9-2-1979;Utrecht;Nederland;Promotie;Leiden;1973;Anaesthetic and homeostatic problems in experimental orthotopic liver transplantation in dogs : their implication for human transplantation;Gewoon Lector;Anesthesiologie;6-10-1971;1-7-1971;Anaesthesiologie;11-5-1973;"""Dubbel onbekend""";Geneeskunde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB LUF 1973 blz. 69 en JB der R.U. te Leiden 1975-1980 In Mem. blz. 132.;282911746;;70268827
1963;;Postel-Coster;Elsje;Els;Vrouw;;12-12-1925;Groningen;Nederland;13-1-2018;Oegstgeest;Nederland;Promotie;Leiden;1985;Het omheinde kweekbed : machtsverhoudingen in de Minangkabause familieroman;Bijzonder Hoogleraar;"Culturele Antropologie;Vrouwenstudies";13-12-1986;13-12-1986;De positie van vrouwen in veranderende samenlevingen;20-1-1987;Over de grenzen. Culturele antropologie in feministisch perspectief;Sociale Wetenschappen;1-1-1991;;Bijzonder Hoogleraar Sociale Wetenschappen vanwege het Leids Universiteits Fonds voor het tijdvak van 1986-12-13 tot 1991-01-01.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;203022552;"1655020; 1654960";70846340
1965;;Posthumus Meyjes;Guillaume Henri Marie;;Man;;2-5-1927;Amsterdam;Nederland;24-7-2008;;;Promotie;Leiden;1963;Jean Gerson, zijn kerkpolitiek en ecclesiologie;Gewoon Hoogleraar;"Dogmatiek;Geschiedenis van de Godsdienst";11-5-1966;1-1-1967;Geschiedenis van het Christendom en van de leerstellingen van de christelijke godsdienst;20-1-1967;De controverse tussen Petrus en Paulus. Galaten 2:11 in de historie;Godgeleerdheid;;;"1979-02-08 Diesrede: ""Quasi stellae fulgebunt""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1967/68 blz. 234.;89614256;1655074;69042063
1967;;Pott;Pieter Hendrik;;Man;;3-10-1918;Groningen;Nederland;29-7-1989;Driebergen;Nederland;Promotie;Leiden;1946;Yoga en yantra in hunne beteekenis voor de Indische archaeologie;Buitengewoon Hoogleraar;Kunstgeschiedenis;13-12-1973;1-1-1974;Museologie;29-3-1974;Het museum als sociaal-culturele instelling;Letteren;;;Buitengewoon Hoogleraar Letteren tot 1978-09-01. 1978-08-17  Herbenoemd voor het tijdvak van 1978-09-01 tot 1983-09-01.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1970-1975 blz. 75.;229129798;;68343116
1969;;Poulis;Nicolaas Johannes;;Man;;5-8-1923;Rotterdam;Nederland;6-3-2001;Katwijk?;Nederland;Promotie;Leiden;1952;Nuclear magnetic resonance in paramagnetic and anti-ferromagnetic single crystals;Buitengewoon Hoogleraar;Natuurkunde;27-1-1964;1-3-1964;Experimentele natuurkunde;4-6-1965;Natuurkunde en electronica;Wiskunde en Natuurwetenschappen;1-4-1987;Eervol ontslag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1965/66 blz. 224.;306208482;;15026612X
1973;;Praag;Jacob Philip van;Jaap;Man;;11-5-1911;Amsterdam;Nederland;12-4-1981;Utrecht;Nederland;Promotie;Amsterdam;1946;Henriëtte Roland Holst : wezen en werk;Bijzonder Hoogleraar;;13-11-1964;;Humanistiek en wijsgerige antropologie van het humanisme;21-5-1965;Wat is Humanistiek?;Letteren;4-5-1984;Eervol ontslag wegens benoeming tot Gewoon Hoogleraar in de economische wetenschappen te Rotterdam;"Bijzonder Hoogleraar Letteren, tevens in de Centrale Interfaculteit, vanwege Stichting Socrates.  1979-11-13 Afscheidsrede: ""Levensovertuiging, filosofie en wetenschap""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1965/66 blz. 231.;27195030;;74556452
1975;;Price;Dorothy;;Vrouw;;-1910;Aurora;USA;17-11-1980;;;Promotie;Chicago;1936;Normal development of the prostate and seminal vesicles of the rat with a study of experimental post-natal modifications;Buitengewoon Hoogleraar;;14-11-1966;;Experimentele histologie en endocrinologie, in het bijzonder met betrekking tot de embryologie van de voortplantingsorganen;19-5-1967;A historical review of embryology and intersexuality. Fact and fancy;Geneeskunde;;;Buitengewoon Hoogleraar Geneeskunde (Boerhaave leerstoel) voor het tijdvak van 1967-01-01 t/m 1967-12-31.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;zie: JB der R.U. te Leiden 1967/68 blz. 235.;76550189;;110505182
1976;;Prins;Johannes Jacobus;;Man;;9-10-1814;Langezwaag;Nederland;24-5-1898;Leiden;Nederland;Promotie;Amsterdam;1835;Specimen hermeneutico-theologicum de loco Evangelii Lucae 2:25-35;Gewoon Hoogleraar;"Bijbelwetenschap;Nieuwe Testament";10-9-1855;;De Uitlegging van het Nieuwe Testament en Practische Theologie. 1877 Gaf geen Practische Theologie meer, maar de Inleiding en Kritiek en Hermeneutiek des Nieuwen Testaments en de Oudchristelijke Letterkunde;7-12-1856;;Godgeleerdheid;15-9-1885;Ontslag wegens Emeritaat;Rector Magnificus 1866-1867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(GODGELEERDHEID) 1855-1885. Hoogleeraar.;"zie: H. P. Berlage in Levensberichten van de Mij. der Nederl. Letterkunde te Leiden 1898-1899;
- Nieuw Nederl. Biogr. Woordenboek II K. 1132.";22487020;"1582043; 1620806; 1619507";07025740X
1980;;Pruijs van der Hoeven;Cornelis;;Man;;13-8-1792;Rotterdam;Nederland;5-12-1871;Leiden;Nederland;Promotie;Leiden;16-11-1816;De constitutionis epidemicae doctrina;Buitengewoon Hoogleraar;"Geschiedenis van de Geneeskunde;Pathologie";1824;;Practische Geneeskunde, Pathologie en Medische Geschiedenis;4-12-1824;De simplicis sensu medicinae cultoribus imprimis excolend;Geneeskunde;;;;Gewoon Hoogleraar;;1827;;Practische Geneeskunde;27-1-1827;De perfecta medici specie;;10-10-1862;1862-09-27  Ontslag wegens Emeritaat, ingaand 1862-10-10.;Rector Magnificus 1839-1840;;;;;;;;;;;;;;;;;;;;;;;(GENEESKUNDE) 1824-1862. Hoogleeraar.;zie: Nieuw Nederl. Biogr. Woordenboek IV K. 759.;89327059;"1582095; 1620843; 1621812; 1622129; 1620675; 1619877; 1624042; 1624093; 1619534";69959102
